goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/aggregation
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkQueue_EndToEnd_DropNewest-8     	 1000000	      1075 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1000000	      1029 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_EndToEnd_DropNewest-8     	 1000000	      1021 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1410366	       877.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1271314	       867.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1358655	       958.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1364842	       925.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1425501	       885.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1440134	       836.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1373528	       875.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1299315	       937.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1455494	       851.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropOldest-8   	 1449699	       960.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1446151	       869.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1000000	      1041 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1213491	       846.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1273910	       809.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1574918	       788.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1504370	       806.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1531076	       784.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1528630	       798.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1631985	       838.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkQueue_Concurrent_DropNewest-8   	 1476969	       706.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Create-8                	   92006	     11527 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  299834	      5280 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  144224	     10644 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  147894	      8216 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  148447	      8552 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  171526	      9623 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  145728	      9313 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  153764	      8206 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  156988	      7756 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Create-8                	  147498	      9755 ns/op	    3968 B/op	      12 allocs/op
BenchmarkManager_Get-8                   	16508800	        78.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	16368420	        73.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	16957366	        70.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	18125874	        70.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	17466680	        74.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	16767255	        76.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	13149762	        91.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	16580966	        70.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	20625820	        58.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkManager_Get-8                   	20632089	        62.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkFanOut_100Clients-8             	   18220	     61687 ns/op	       0 B/op	       0 allocs/op
BenchmarkFanOut_100Clients-8             	   19014	     61159 ns/op	       0 B/op	       0 allocs/op
BenchmarkFanOut_100Clients-8             	   22980	     60202 ns/op	       0 B/op	       0 allocs/op
BenchmarkFanOut_100Clients-8             	   19466	     59922 ns/op	       0 B/op	       0 allocs/op
